Id,Label,Interlock_Count,AffiliationId,Board_Size
Andrews University,Andrews University,2,102298084,36
Auburn University,Auburn University,3,82497590,12
Boston College,Boston College,1,103531236,45
Boston University,Boston University,1,111088046,53
Brandeis University,Brandeis University,1,6902469,49
Brown University,Brown University,3,27804330,52
Carnegie Mellon University,Carnegie Mellon University,7,74973139,99
Case Western Reserve University,Case Western Reserve University,1,58956616,50
Catholic University Of America,Catholic University Of America,1,84470341,41
Clark Atlanta University,Clark Atlanta University,2,52064589,22
Columbia University,Columbia University,1,78577930,24
Cornell University,Cornell University,1,205783295,46
Dartmouth College,Dartmouth College,1,107672454,16
Duquesne University,Duquesne University,3,165102784,43
Fordham University,Fordham University,2,164389053,36
George Washington University,George Washington University,1,193531525,43
Georgetown University,Georgetown University,4,184565670,34
Hofstra University,Hofstra University,2,139290212,31
Howard University,Howard University,1,137853757,18
Illinois Institute Of Technology,Illinois Institute Of Technology,3,180949307,62
Johns Hopkins University,Johns Hopkins University,3,145311948,65
Lehigh University,Lehigh University,1,186143895,38
Loma Linda University,Loma Linda University,2,26347476,23
Loyola Marymount University,Loyola Marymount University,2,35566140,85
Loyola University Chicago,Loyola University Chicago,5,1925986,30
Marquette University,Marquette University,4,102461120,35
Marshall University,Marshall University,12,88694374,17
Massachusetts Institute Of Technology,Massachusetts Institute Of Technology,4,63966007,53
New Jersey Institute Of Technology,New Jersey Institute Of Technology,2,118118575,61
New School,New School,2,102179633,42
New York University,New York University,6,57206974,84
Oklahoma State System of Higher Education,Oklahoma State System of Higher Education,1,8692664,30
Pennsylvania State University,Pennsylvania State University,3,130769515,35
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,2,165799507,33
Rice University,Rice University,1,74775410,18
Seton Hall University,Seton Hall University,3,12524447,45
Stanford University,Stanford University,1,97018004,34
Temple University,Temple University,2,84392919,41
Tennessee Board of Regents,Tennessee Board of Regents,14,169615421,44
Tufts University,Tufts University,3,121934306,35
University Of Chicago,University Of Chicago,4,40347166,49
University Of Connecticut,University Of Connecticut,3,140172145,18
University Of Dayton,University Of Dayton,1,127591826,33
University Of Delaware,University Of Delaware,2,86501945,32
University Of Notre Dame,University Of Notre Dame,4,107639228,55
University Of Pittsburgh,University Of Pittsburgh,7,170201317,51
University Of Rhode Island,University Of Rhode Island,1,17626003,16
University Of San Diego,University Of San Diego,1,160856358,35
University Of South Alabama,University Of South Alabama,3,83809506,20
University Of St Thomas Minnesota,University Of St Thomas Minnesota,2,161515732,42
University Of Tulsa,University Of Tulsa,1,87208437,35
University System of Georgia,University System of Georgia,2,1289702989,16
University System of New Hampshire,University System of New Hampshire,1,2800453862,22
University System of Ohio,University System of Ohio,1,2802096936,118
University of Alabama System,University of Alabama System,2,2800507078,15
University of North Carolina System,University of North Carolina System,1,4210158053,110
University of Tennessee System,University of Tennessee System,14,2799495847,35
Villanova University,Villanova University,1,7863295,26
West Virginia University,West Virginia University,12,12097938,17
Worcester Polytechnic Institute,Worcester Polytechnic Institute,1,107077323,42
Yale University,Yale University,2,32971472,18
Yeshiva University,Yeshiva University,4,19772626,99
